BSC Name,,TCH Assignment Success Rate [BBH],TCH Blocking Rate [BBH],Drop Call Rate [BBH],SDCCH Drop Call Rate [BBH],Total Voice Traffic [BBH],RX Quality [BBH],HOSR[CBBH],SDCCH Blocking Rate [BBH]
,19-Jun-22,99.04,0.13,0.78,0.03,4270.67,98.51,98.75,0.04
,20-Jun-22,99.21,0.1,0.87,0.02,4476.16,98.57,98.85,0
,21-Jun-22,99.11,0.05,0.85,0.02,4472.78,98.55,98.7,0.13
,22-Jun-22,99.07,0.2,1.08,0.03,4514.42,98.52,98.59,0.13
BSC209JBL,18-Jun-22,99.12,0.04,0.65,0.02,5667.6,98.42,98.81,0.12
,19-Jun-22,99.05,0.21,0.59,0.02,5455.62,98.34,98.89,0.05
,20-Jun-22,99.17,0.01,0.61,0.02,5459.19,98.32,98.93,0.02
,21-Jun-22,99.16,0.03,0.61,0.02,5662.78,98.33,98.58,0
,22-Jun-22,99.08,0.01,0.56,0.02,5750.85,98.41,98.7,0.06
BSC210BLP,18-Jun-22,99.1,0.12,0.7,0.04,8576.52,98.29,98.34,1.07
,19-Jun-22,99.07,0.04,0.66,0.03,8272.58,98.22,98.33,1.16
,20-Jun-22,99.12,0.17,0.63,0.03,8738.83,98.25,98.26,2.73
,21-Jun-22,99.17,0.01,0.65,0.03,8731.3,98.28,98.18,0.07
,22-Jun-22,99.09,0.02,0.62,0.03,8654.28,98.28,98.3,0.12
BSC211RWA,18-Jun-22,98.78,0.8,0.65,0.06,10793.79,97.96,97.89,0.02
,19-Jun-22,98.37,1.43,0.81,0.08,11766.25,97.76,97.35,0.03
,20-Jun-22,98.51,1.29,0.76,0.08,12085.98,97.77,97.62,0.05
,21-Jun-22,98.43,1.58,0.82,0.08,12301.01,97.73,97.44,0.08
,22-Jun-22,98.47,1.17,0.78,0.08,12066.08,97.81,97.54,0.03
BSC214DRG,18-Jun-22,99.22,0.03,0.51,0.03,9426.63,98.54,98.52,0
,19-Jun-22,99.17,0.01,0.53,0.02,8716.03,98.44,98.41,0
,20-Jun-22,99.22,0.01,0.5,0.02,9112.88,98.43,98.54,0.37
,21-Jun-22,99.23,0.01,0.48,0.02,8875.01,98.44,98.44,0
,22-Jun-22,99.15,0.19,0.53,0.03,9093.4,98.39,98.37,0.43
BSC215STN,18-Jun-22,98.98,0.3,0.78,0.03,10905.11,97.94,97.91,0.2
,19-Jun-22,98.8,0.13,0.66,0.03,10071.13,97.97,98.03,0.82
,20-Jun-22,98.79,0.13,0.93,0.05,9887.07,97.68,97.82,0.03
,21-Jun-22,98.71,0.03,0.89,0.05,10735.92,97.73,97.37,0.32
,22-Jun-22,98.66,0.04,0.9,0.04,10678.46,97.74,97.31,0.19
BSC216DWS,18-Jun-22,99.12,0.1,0.41,0.02,4164.29,98.58,98.39,0.11
,19-Jun-22,99.03,0,0.46,0.02,4139.3,98.54,98.47,0.25
,20-Jun-22,99.08,0.01,0.42,0.03,4330.46,98.57,98.56,0
,21-Jun-22,99.08,0,0.43,0.02,4279.46,98.55,98.45,0
,22-Jun-22,98.91,0.01,0.54,0.02,4339.64,98.42,98.07,0.01
BSC219JHB,18-Jun-22,98.22,2.28,0.7,0.08,8303.54,97.71,97.12,0.36
